order,peak,fsr,min,max,plate_peak,plate_min,plate_max,length_peak,length_min,length_max
104,589.3170456912,5.6665100547,586.4837906638,592.1503007185,0.0009444183,0.0009398779,0.0009489588,6000,6028.9855072464,5971.2918660287
105,583.7045023989,5.559090499,580.9249571493,586.4840476484,0.0009354239,0.0009309695,0.0009398783,5942.8571428572,5971.2918660287,5914.691943128
106,578.1978561498,5.4546967561,575.4705077717,580.9252045279,0.0009265991,0.0009222284,0.0009309699,5886.7924528302,5914.691943128,5859.1549295775
107,572.794137868,5.3532162418,570.1175297472,575.4707459889,0.0009179393,0.0009136499,0.0009222288,5831.7757009346,5859.1549295775,5804.6511627907
108,567.4904884433,5.2545415597,564.8632176635,570.1177592232,0.0009094399,0.0009052295,0.0009136503,5777.7777777778,5804.6511627907,5751.1520737327
109,562.284153687,5.1585702173,559.7048685783,564.8634387956,0.0009010964,0.0008969629,0.0009052299,5724.7706422018,5751.1520737327,5698.6301369863
110,557.1724795625,5.0652043597,554.6398773827,559.7050817424,0.0008929046,0.000888846,0.0008969633,5672.7272727273,5698.6301369863,5647.0588235294
111,552.1529076746,4.9743505196,549.6657324148,554.6400829344,0.0008848604,0.0008808746,0.0008888463,5621.6216216216,5647.0588235294,5596.4125560538
112,547.2229709989,4.8859193839,544.780011307,549.6659306909,0.0008769599,0.0008730449,0.0008808749,5571.4285714286,5596.4125560538,5546.6666666667
113,542.3802898396,4.7998255738,539.9803770527,544.7802026265,0.0008691992,0.0008653532,0.0008730452,5522.1238938053,5546.6666666667,5497.7973568282
114,537.6225679989,4.7159874386,535.2645742797,539.9805617182,0.0008615746,0.0008577958,0.0008653535,5473.6842105263,5497.7973568282,5449.7816593887
115,532.9475891468,4.6343268621,530.6304257157,535.2647525779,0.0008540827,0.0008503693,0.0008577961,5426.0869565217,5449.7816593887,5402.5974025974
116,528.3532133783,4.5547690808,526.0758288379,530.6305979187,0.0008467199,0.0008430702,0.0008503695,5379.3103448276,5402.5974025974,5356.2231759657
117,523.8373739477,4.4772425124,521.5987526915,526.0759952039,0.000839483,0.0008358954,0.0008430705,5333.3333333333,5356.2231759657,5310.6382978723
118,519.3980741685,4.4016785946,517.1972348711,521.5989134658,0.0008323687,0.0008288417,0.0008358957,5288.1355932203,5310.6382978723,5265.8227848101
119,515.0333844696,4.3280116342,512.8693786525,517.1973902867,0.000825374,0.0008219061,0.000828842,5243.6974789916,5265.8227848101,5221.7573221757
120,510.741439599,4.2561786633,508.6133502673,512.8695289307,0.0008184959,0.0008150855,0.0008219063,5200,5221.7573221757,5178.4232365145
121,506.5204359659,4.1861193055,504.4273763132,508.6134956187,0.0008117315,0.0008083772,0.0008150857,5157.0247933884,5178.4232365145,5135.8024691358
122,502.3686291138,4.1177756485,500.3097412895,504.427516938,0.0008050779,0.0008017784,0.0008083774,5114.7540983607,5135.8024691358,5093.8775510204
123,498.2843313161,4.0510921245,496.2587852538,500.3098773784,0.0007985326,0.0007952865,0.0008017786,5073.1707317073,5093.8775510204,5052.6315789474
124,494.2659092894,3.9860153975,492.2729015906,496.2589169881,0.0007920928,0.0007888989,0.0007952867,5032.2580645161,5052.6315789474,5012.0481927711
125,490.311782015,3.9224942561,488.350534887,492.2730291431,0.0007857561,0.000782613,0.0007888991,4992,5012.0481927711,4972.1115537849
126,486.4204186657,3.8604795132,484.4901789091,488.3506584223,0.0007795199,0.0007764266,0.0007826132,4952.380952381,4972.1115537849,4932.8063241107
127,482.590336629,3.7999239105,480.6903746737,484.4902985842,0.0007733819,0.0007703371,0.0007764268,4913.3858267717,4932.8063241107,4894.1176470588
128,478.8200996241,3.7407820283,476.9497086099,480.6904906382,0.0007673399,0.0007643425,0.0007703373,4875,4894.1176470588,4856.0311284047
129,475.108315906,3.6830102008,473.2668108056,476.9498210065,0.0007613915,0.0007584404,0.0007643427,4837.2093023256,4856.0311284047,4818.5328185328
130,471.4536365529,3.626566435,469.6403533354,473.2669197704,0.0007555347,0.0007526288,0.0007584406,4800,4818.5328185328,4781.6091954023
131,467.8547538311,3.5714103346,466.0690486638,469.6404589984,0.0007497672,0.0007469055,0.0007526289,4763.358778626,4781.6091954023,4745.247148289
132,464.3103996355,3.5175030275,462.5516481217,466.0691511492,0.0007440872,0.0007412687,0.0007469057,4727.2727272727,4745.247148289,4709.4339622642
133,460.8193439991,3.4648070977,459.0869404502,462.551747548,0.0007384925,0.0007357163,0.0007412688,4691.7293233083,4709.4339622642,4674.1573033708
134,457.3803936707,3.4132865199,455.6737504108,459.0870369307,0.0007329814,0.0007302464,0.0007357164,4656.7164179105,4674.1573033708,4639.405204461
